EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Flood,Timmins and Dufferin County ON,5/17/1996 12:00:00 AM,"Timmins and Dufferin counties ON, May 17-19, 1996.",0,0,0,378557,25549.4,5/19/1996 12:00:00 AM,,,131518,247039,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Red River, Souris River, Assiniboine River and Pembina River MB",4/18/1996 12:00:00 AM,"Red River, Souris River, Assiniboine River and Pembina River MB, April 18 - May 8, 1996. Heavy rainfall in the winter, high soil moisture levels and an unseasonably cool spring led to flooding. Thick ice flows and flood water caused damage to bridges, telephone cables, small businesses, roads, agricultural lands, and other community infrastructure. Small communities within the vicinity of Red River, Souris River, Assiniboine River and Pembina River were inundated. Thousands of customers went without telephone service for a week and 285 people were evacuated.",0,0,285,6816377,460047.9,5/8/1996 12:00:00 AM,4430930,2385447,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Flat Bay NL,2/17/1996 12:00:00 AM,"Flat Bay NL, February 17-19, 1996. A rainstorm along west coast of Newfoundland, flooding caused extensive damages. Highways and bridges washed away, 30 residents were evacuated by helicopter.",0,0,30,,,2/19/1996 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Sunny Valley AB,1/1/1996 12:00:00 AM,"Sunny Valley AB, 1996.",0,0,0,100307,6769.9,1/1/1996 12:00:00 AM,,,100307,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern British Columbia,11/27/1995 12:00:00 AM,"Southwestern British Columbia, November 27-29, 1995. Heavy rains and melting snow caused the Tulameen and Similkameen Rivers to overflow their banks in four regions: East coast of Vancouver Island, Mainland Coast, Mainland Coastal Valleys and the Interior Valley. The flooding forced 230 people to flee their homes in Princeton, Tulameen and Coalmont. A State of Emergency was declared in Princeton, a town of 2,800 people. Provincial, municipal and private sector properties were damaged. Some homes faced major structural repairs. There were actually three periods of heavy rains: Nov. 7-8, Nov. 13-17 and Nov. 27-29 when 135.4 mm, 395.0 mm and 650.6 mm of precipitation fell, respectively.",0,0,230,18835222,1290083.7,11/29/1995 12:00:00 AM,1915497,5722996,11196729,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,6/6/1995 12:00:00 AM,"Southern Alberta, June 6-9, 1995. Heavy rain and snowmelt led to flooding. The most extensive damage occurred from the Oldman and South Saskatchewan Rivers from Crownest Pass to Pincher Creek, Lethbridge and Medicine Hat. This includes the southern areas of High River. Roads, property, riverbanks, trails, agricultural land and over 20 bridges were damaged. More than 215 homes had flooded basements and some experienced short power outages.",0,0,0,154623306,10590637.4,6/9/1995 12:00:00 AM,34061897,9324782,12672842,76670115,,21893670,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southeastern British Columbia,6/5/1995 12:00:00 AM,"Southeast region of British Columbia, June 5-9, 1995. Significant amounts of rainfall in the southern Rockies caused flooding in the East Kootenay (Elk River Watershed) Region. Provincial, municipal and private sector properties were damaged in the Kootenay Region and in the municipalities of Sparwood, Fernie, Princeton, Cranbrook and Erickson. There were 36 homes damaged, 2 road bridges and 1 CPR rail bridge washed out. On June 6, 702 residents were evacuated from Fernie and 100 residents evacuated from Sparwood.  The evacuations lasted until June 9.",0,0,802,7155707,490116.9,6/9/1995 12:00:00 AM,1685853,5469854,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"East Kooteney (Elk River-Watershed) Region and the municipalities of Sparwood, Fernie and surrounding areas BC",6/1/1995 12:00:00 AM,"East Kooteny (Elk River-Watershed) Region and in the municipalities of Sparwood, Fernie and surrounding areas BC, June 1995.  Severe flooding due to heavy rains.",0,0,0,7155707,490116.9,6/1/1995 12:00:00 AM,1685853,5469854,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Northeastern Saskatchewan,4/1/1995 12:00:00 AM,"Northeastern Saskatchewan, April 1995. An unusual quick thaw combined with spring rain early in the season caused extensive flooding in Eastern Saskatchewan.  The flooding caused damage to agricultural lands, urban, rural, public and private properties. Numerous Saskatchewan communities declared a State of Emergency, including: Quill Lake, Engleford, Langeburg and the City of Melville. Other inundated areas were: Carrot River, Moosomin, White Sands, Yorkton, Melfort and Nipawin. Refer to the Manitoba entry for more information on this weather system.",0,0,0,7572381,518656.2,4/1/1995 12:00:00 AM,4784560,2787821,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Western MB,4/1/1995 12:00:00 AM,"Western MB, April 1995.  In April, rapid snowmelt sent very high flows into the Assiniboine River and the Red River below the Shellmouth Dam.  Spring runoff and two heavy snowfalls of 20-30 cm each in late March had contributed to the flooding problem.  Public road networks, urban and rural properties and agricultural lands suffered damage. Damage occurred at over 100 locations on the provincial highway system, at over 5500 sites on municipal roads and to large culverts and bridges.  Seventy communities were inundated in Manitoba, including: Roblin, Russell, Binscarth, Birtle, Glenora, Pilot Mound, Melita, Virden, Elkhorn, Boissevain, Springfield, Brandon and Minnedosa. The hardest hit areas were Brandon and Shellmouth along the Assiniboine River.  Both a small town of 50 people and the Sioux Valley First Nations Reserve were evacuated. Refer to the Saskatchewan entry for more information on this weather system.",0,0,100,4205645,288057.9,4/1/1995 12:00:00 AM,1816719,2388926,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec,1/1/1995 12:00:00 AM,"Quebec, 1995.",0,0,0,57478,3936.8,1/1/1995 12:00:00 AM,,,57478,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Poplar Bay AB,1/1/1995 12:00:00 AM,"Poplar Bay AB, 1995.",0,0,0,35830,2454.1,1/1/1995 12:00:00 AM,,,35830,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Plaster Rock NB and Lower St. Lawrence Region QC,4/16/1994 12:00:00 AM,"Plaster Rock NB and Lower St. Lawrence Region, QC, April 16-26, 1994. Freshet during the spring and one rainstorm caused flooding of the Saint John and Miramachi Rivers. Flooded basements, riverbank erosion and damaged roads was incurred by private, municipal and provincial property. Over 130 residences, 20 farms, 14 small businesses and the following 4 municipalities were affected: Village of Clair, St. François, Rivière Verte and Plaster Rock.  In Quebec, ice jams along the Matapédia, Restigouche and Gaspésie Rivers caused flooding. Thirty-two municipalities were flooded, including the following: Rimouski, Matane, Bonaventure, Restigouche, Matapédia, Petite Cascapédia and Capchat. Matapédia was isolated for 2 days without electricity or telephone service; 100 people were evacuated. Three bridges were washed away in the lower St. Lawrence area, and communication between southern and northern St. Lawrence shore was cut.",0,0,0,57025698,3992464.3,4/26/1994 12:00:00 AM,1944488,31903387,1681761,21496062,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern ON,1/16/1994 12:00:00 AM,"Southern ON, January 16-17, 1994.",0,0,0,14299000,1001096.8,1/17/1994 12:00:00 AM,0,0,,,,14299000,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saskatchewan,7/29/1993 12:00:00 AM,"Saskatchewan, July 29, 1993.",0,0,0,6503703,455867,7/29/1993 12:00:00 AM,,,613703,,,5890000,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec,7/29/1993 12:00:00 AM,"Quebec, July 29-30, 1993.",0,0,0,10017238,702142.9,7/30/1993 12:00:00 AM,,,1675238,,,8342000,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,7/25/1993 12:00:00 AM,"Winnipeg MB, July 25 - August 14, 1993. The City of Winnipeg was declared a disaster area because of flooding caused by prolonged heavy rainfall; three severe rainstorms in a five-week period during July caused sewer backups and other extensive damage to homes, power lines, and agricultural land infrastructure in Winnipeg and surrounding areas including Selkirk, Springfield and Beausejour.  Wettest summer in Winnipeg in 120 years.",0,0,0,214807255,15056583.3,8/14/1993 12:00:00 AM,11555527,3763948,,,,199487780,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Swan River MB,7/4/1993 12:00:00 AM,"Swan River MB, July 4, 1993. Prolonged rains resulted in severe flooding in the rural municipalities of Swan River, Minitonas, Ethelbert, the Local Government district of Mountain and adjoining municipalities, causing extensive damage to homes, public utilities and municipal infrastructure. 7 bridges washed away.  3 highways and numerous roads closed. 650 homes were evacuated.",0,0,650,5738341,402220.2,7/4/1993 12:00:00 AM,2935683,2802658,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Upper Saint John River Valley NB,4/12/1993 12:00:00 AM,"Upper Saint John River valley NB, April 1993. Intense spring rainfall and deeper than normal snowpack caused flooding of the Upper Saint John River valley. Public and private property and municipalities incurred damage; individuals made over 300 damage claims due to flooded basements. A sewage treatment plant, sections of the TransCanada Highway and Hotel-Dieu Hospital all sustained damage. Ice, mud and uprooted trees were scattered across the area. The following communities were inundated: Siegas, Fredericton, RiviÃ¨re Verte, Village of Perth-Andover, Village of Plaster Rock, Ste. Anne de Madawaska, Town of Woodstock, St. FranÃ§ois and Quisesibis.",0,0,300,14973222,1049524.9,4/12/1993 12:00:00 AM,6500013,2349112,3808712,,2315385,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Elmira ON,8/28/1992 12:00:00 AM,"Elmira ON, August 28, 1992.",0,0,0,4738539,338467.1,8/28/1992 12:00:00 AM,0,0,,,,4738539,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Toronto ON,7/31/1992 12:00:00 AM,"Toronto ON, July 31, 1992.",0,0,0,5337940,381281.4,7/31/1992 12:00:00 AM,0,0,,,,5337940,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Yukon Rivers YT,6/17/1992 12:00:00 AM,"Yukon rivers YT, June 17 – July 1992. Above-average snowpack and precipitation combined with high winter temperatures caused flooding along the Upper Liard River basin, Teslin River basin, South Canol Area, Upper Lakes of the Yukon River basin, Stewart River and Bennett Lake.  The Upper Liard River basin peaked on June 17, the fifth highest record since 1960; Teslin River peaked on June 25, breaking the old record set in 1947; Yukon Upper Lakes peaked on July 30, the 3rd highest record since 1951. Flooding caused road washouts, damage to private property and reserves, and significant threats to water and sewere facilities. The hardest hit communities were: Upper Liard, Carmacks, Carcross and Teslin.",0,0,0,228636,16331.1,7/30/1992 12:00:00 AM,147321,81315,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Attawapiskat ON,5/18/1992 12:00:00 AM,"Attawapiskat ON, May 18, 1992. Approximately 1000 residents of this remote Cree village near James Bay were evacuated when the Attawapiskat River flooded.",0,0,1000,,,5/18/1992 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Hay River NT,4/25/1992 12:00:00 AM,"Hay River NT, April 25, 1992. Approximately 100 residents were evacuated as a 10-kilometre-deep ice jam at the mouth of the Hay River flooded the town of 3100 people.",0,0,100,,,4/25/1992 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Sainte-Brigitte-de-Laval, about 40 km north of Québec City QC",,,,,,,,,,,,,,,,,
,3/12/1992 12:00:00 AM,"Sainte-Brigitte-de-Laval, about 40 km north of Québec City QC, March 12, 1992. Approximately 40 people were airlifted from this community on Ile Enchanteresse (a mile long island 40km north of Québec City) when flood waters caused by an ice jam on the Montmorency River rapidly inundated the town, flooding 80 houses; two Québec government helicopters and one Canadian Forces helicopter were used in the evacuation.",,,,,,,,,,,,,,,,,,,
,0,0,40,1012311,72307.9,3/12/1992 12:00:00 AM,,,1012311,,,,,0,0,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Peace River AB,2/28/1992 12:00:00 AM,"Peace River, 388 km northwest of Edmonton AB, February 28 - March 4, 1992. Unseasonably warm weather broke up the frozen Peace River, ice jams caused water levels to rise 4.3 m above average; water levels peaked at 15 m; extensive flooding necessitated the evacuation of approximately 3800 residents of the town for at least three days; approximately 20 homes sustained severe damage, 30 others were damaged but could be occupied; no deaths or injuries were reported.",0,0,3800,2866371,204740.8,3/4/1992 12:00:00 AM,,,2866371,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lethbridge AB,1/1/1992 12:00:00 AM,"Lethbridge AB, 1992.",0,0,0,219277,15662.6,1/1/1992 12:00:00 AM,,,219277,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Northwestern British Columbia,10/8/1991 12:00:00 AM,"Northwestern British Columbia, October 8-14, 1991.  Flooding due to heavy rainfall along the Kitimat, Skeena and Nass rivers caused damage in Terrace, Stewart and Prince Rupert. Highways and forest service roads flooded and washed out, and numerous bridges were damaged or destroyed. There was erosion damage to spawning beds, and some landslides resulted. Communities along the Nass River isolated were isolated; fresh food had to be flown in through the Provincial Emergency Program.",,,,,,10/14/1991 12:00:00 AM,,,,,,,,4150761,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern British Columbia,,,,,,,,,,,,,,,,,
,8/29/1991 12:00:00 AM,"Southwestern British Columbia, August 29 to September 1, 1991. Heavy rains caused extensive damage in the Southwestern area of BC, mainly surrounding Vancouver and the Chilliwack area. More specifically: in the South Central region, Bella Coola, Chilcotin, West Central Region, Southwest Region, Fraser Columbia, Kooteney, Similkameen and Peace Regions.",,,,,,,,,,,,,,,,,,,
,0,0,0,17300120,1253631.9,9/1/1991 12:00:00 AM,1002312,3934593,12363215,,,,,0,0,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Old Crow YT,5/8/1991 12:00:00 AM,"Old Crow YT, May 8-9, 1991. Ice jams caused the Porcupine River to overflow and flood the community of Old Crow. Over half of the buildings sustained damage, including 32-40 homes, the church, the school,  the airport runway and terminal building, the Nursing Station and Co-op Store. Supplies, electrical systems and generators were also damaged.",0,0,0,546692,39615.4,5/9/1991 12:00:00 AM,518222,28470,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Chaudière River QC,4/7/1991 12:00:00 AM,"Chaudière River QC, April 7-8, 1991. Residents along the Chaudière River, south of Quebec City, experienced the highest flood levels in several years; many homes and businesses were damaged by water and ice. 1000 residents were evacuated.  Telephone poles knocked down, cars crushed by the weight of ice, flooded basements.",0,0,1000,3682004,266811.9,4/8/1991 12:00:00 AM,,,3682004,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Newfoundland,12/9/1990 12:00:00 AM,"Newfoundland, December 9, 1990. Heavy rain caused this damaging flood.  Up to 100 millemetres of rain fell on the area, forcing the closure of highways, flooding homes and damaging bridges.",0,0,0,2327777,178146.2,12/9/1990 12:00:00 AM,1029958,1297819,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern British Columbia,11/8/1990 12:00:00 AM,"Southwestern British Columbia, November 8-13, 1990; 309 people evacuated and eight homes destroyed; heavy rains caused widespread flooding over a wide area of southwestern British Columbia and Vancouver Island; the British Columbian interior was cut off from the coast for several days as highways were shut down by landslides and road washouts.",0,0,309,29426861,2252055.7,11/13/1990 12:00:00 AM,7343629,7053719,15029513,,,,,412941,0
Disaster,Natural,Meteorological - Hydrological,Flood,Woodstock NB,8/1/1990 12:00:00 AM,"Woodstock area NB, August 1990. Flooding was caused by heavy rains.",0,0,0,1666667,127551,8/1/1990 12:00:00 AM,,,1666667,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Western Alberta,5/25/1990 12:00:00 AM,"Western Alberta, May 25 - July 4, 1990. Heavy rains caused extensive flooding and runoff damage in a number of communities in Alberta during several separate periods. Rains fell from Peace River in the north to High River in the South. Flooding caused damage to public works, businesses, First Nation reserves, farmland, and extensive damage of private residences. Sewers backed up, roads and bridges washed out. The communities most affected were: Thorsby, Winfield, Calman, Mudhurst and Bentley. During late May, several rivers were 1.3-3m above their normal level and  on July 2-3, 100150 mm of rain fell on Central Alberta in 36 hours. Over 200 homes were damaged by flooding, and 4 were destroyed. 1 man drowned while crossing a river, and a woman was missing. * During the two week time period, approximately 34 families and 85 people were evacuated.",1,0,221,22147336,1694949.2,7/4/1990 12:00:00 AM,8229503,6395393,7522440,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern British Columbia,11/8/1989 12:00:00 AM,"Southwestern British Columbia, November 8-12, 1989. A rainstorm which caused flooding occurred in southwestern British Columbia. Over 500 homes were flooded, a salmon hatchery incurred damage, and many service roads were washed away. Parts of the TransCanada highway were blocked with mudslides. The flooding also caused damage to the Coquihala highway and to the Owekena First Nation reserve; 28 residents of this reserve were evacuated.",0,0,28,3146918,252426.6,11/12/1989 12:00:00 AM,54716,3092202,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Harrow, Kent, Essex, Leamington counties ON",7/19/1989 12:00:00 AM,"Harrow and Colchester South, Essex County ON, July 19-20, 1989. Widespread flooding due to 450 mm of rain in a 30-hour period; the rainfall was from an intense thunderstorm which was centred over Colchester South and appeared to be stationary over Harrow for most of its duration. Many were evacuated from areas of extreme flooding and erosion; a few injuries were reported, no deaths; utility service in some areas was disrupted.  Kent and Leamington counties were also affected.",0,0,0,13807000,1107513.4,7/20/1989 12:00:00 AM,0,0,,,,13807000,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Liard River NT,5/1/1989 12:00:00 AM,"Liard River NT, May 1-9, 1989. Flooding, caused by severe ice jams near 3 Mile Island, damaged the community of Fort Liard.  A State of Emergency was declared on May 1 due to the high water levels, 1 m in some areas.  Water built up when the ice jam reached Fort Simpson and the town of Hay River was also damaged. Personal, municipal and territorial property was damaged, riverbanks were eroded. Over 50 homes were affected by the flooding and 125 people were evacuated, there was no loss of life.",0,0,125,1094778,87816.4,5/9/1989 12:00:00 AM,852700,242078,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Albany and Attawapiskat River ON,1/1/1989 12:00:00 AM,"Albany and Attawapiskat Rivers ON, 1989. 1000 evacuated.",0,0,1000,,,1/1/1989 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lesser Slave Lake region AB,7/5/1988 12:00:00 AM,"Lesser Slave Lake area AB, July 5-8, 1988. A severe rainstorm which started on July 5 1988, brought up to 160 mm of rain to the Town of Slave Lake and surrounding areas. This caused overbank flooding and log jams on Sawridge Creek, Driftpile River and Swan River. Individuals, small businesses, farms, a hospital, and government property sustained damage. Major highways north of Edmonton to Slave Lake were closed. Over 800 homes flooded, 500 of them severely damaged. Approximately 2800 residents were evacuated from the area.",0,0,2800,35296621,2974434.4,7/8/1988 12:00:00 AM,7787911,6008710,,,,21500000,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Norman Wells NT,6/29/1988 12:00:00 AM,"Norman Wells NT, June 29 - July 3 and July 11-15, 1988. Two severe flood events occurred in the Laird and Mackenzie River Basins of southwestern Northwest Territories.",0,0,0,,,6/29/1988 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Central and Southern Alberta,6/28/1988 12:00:00 AM,"Central and Southern AB, June 28-29, 1988.",0,0,0,,,6/29/1988 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Lethbridge, Taber, Irma and Wainwright AB",6/4/1988 12:00:00 AM,"Lethbridge, Taber, Irma and Wainwright AB, June 4-11, 1988. Flooding due to severe weather.",0,0,0,,,6/11/1988 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Duck Mountain and Swan River MB,4/1/1988 12:00:00 AM,"Duck Mountain and Swan River MB, April 1, 1988. A sudden thaw along with excessive rain produced severe flooding in the Duck Mountain-Swan River area of Manitoba. Damages occurred  to private, municipal and provincial property.",0,0,0,2323137,195770,4/1/1988 12:00:00 AM,619569,1703568,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Goulais River ON,1/1/1988 12:00:00 AM,"Goulais River ON, 1988.",0,0,0,,,1/1/1988 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Northern British Columbia,1/1/1988 12:00:00 AM,"Northern British Columbia, 1988.",0,0,0,,,1/1/1988 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Montreal QC,7/14/1987 12:00:00 AM,"Montreal QC, July 14, 1987. The city experienced severe thunderstorms and intense rainfall with 100 mm of rain in 1 hour. Major expressways were flooded with over three metres of water; in 30 minutes the subterranean Decarie Expressway was flooded with 3.6 metres of water; the sewer system was backed up, flooding approximately 40,000 homes and businesses; the subway system was closed; 2 dead: one from drowning in his car and the other was electrocuted.  There was also a tornado caused by the severe thunderstorm which uprooted large trees and toppled hydro lines.",2,0,0,64216681,5624818.8,7/14/1987 12:00:00 AM,6473041,13065640,,,,44678000,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lake St. Clair ON,4/4/1987 12:00:00 AM,"Lake St. Clair ON, April 4, 1987. A storm with northerly winds of almost 60 km/h caused severe flood damage along Lake St. Clair; 50 evacuated; lower floors were flooded in 100 homes.",0,0,50,,,4/4/1987 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Perth-Andover NB,4/2/1987 12:00:00 AM,"Perth-Andover NB, April 2, 1987. Serious damage occurred when an ice jam formed during snowmelt and heavy rainfall caused severe flooding; the railway bridge spanning the Saint John River was destroyed; 17 rail cars spilled mildly toxic water-soluble chemicals into the water; a State of Emergency was declared; mass evacuations were necessary.",0,0,300,7872284,689543.1,4/2/1987 12:00:00 AM,5660456,2211828,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southcentral Quebec,3/28/1987 12:00:00 AM,"Southcentral QC, late March-early April 1987. Heavy rains and melting snow caused spring flooding; damage was widespread due to the high water levels and landslides which were brought on by the heavy rain; transportation was disrupted and hundreds of people were evacuated; most damage occurred on Apr. 1 with conditions returning to normal Apr. 2 and 3; the Beaucé region south of Québec City was hit hard, as main roads were closed and homes were evacuated. The north shore of the St. Lawrence River east of Québec City experienced some landslides.",0,0,300,,,4/5/1987 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,East Central British Columbia,8/1/1986 12:00:00 AM,"East Central British Columbia, 1986. (Noeick River)",0,0,0,,,8/1/1986 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saskatchewan and Alberta,7/16/1986 12:00:00 AM,"Saskatchewan and Alberta, July 16-24, 1986.  A flood occurred on the North Saskatchewan River, several of its tributaries and on tributaries of the Athabasca River.  On July 22 and 24, Battleford and Prince Albert respectively experienced flooding. The floods resulted from heavy precipitation in the mountains, foothills and Great Plains regions, compounded by high antecedent soil moisture conditions.  Crops were destroyed and farm buildings were damaged.  Hundreds of homes were flooded and severe erosion occurred in some communities causing road and bridge damage and several washouts.  The extensive flooding also caused an overflow in several municipal sewer systems leading to sewer collapse. The event resulted in one death. Refer to the Alberta entry for more information on this weather system.",1,0,0,17889807,1636262.8,7/24/1986 12:00:00 AM,9484477,8405330,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,North-central Alberta,7/13/1986 12:00:00 AM,"North-central Alberta, July 13-24, 1986. Very heavy precipitation caused the McLeod, Pembina, the Athabasca rivers and the North Saskatchewan River and its tributaries to overflow and flood the North Saskatchewan River valley in Edmonton (July 19) and hundreds of smaller communities. Extensive damage occurred in low-lying residential areas, agricultural lands, crops, farm property and buildings. Municipal and provincial infrastructure was also damaged. 1500 homes were damaged. Refer to the Saskatchewan entry for more information on this weather system.",0,0,0,12843964,1174752.8,7/24/1986 12:00:00 AM,6809368,6034596,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winisk ON,5/16/1986 12:00:00 AM,"Winisk, Winisk River Northern ON, May 16, 1986.  Precipitation was nearly three times normal in the western James Bay area of northern Ontario in March and April; as the snowpack melted, ice jams formed on the Winisk River; the river then overflowed its banks and Winisk was inundated;  the isolation of the community, the magnitude of the flooding and a blizzard made rescue efforts difficult.  Of the 131 residents, almost all were airlifted to safety; two died; the community was virtually destroyed; a new town site was developed upstream at Peawanuk.",2,0,129,,,5/16/1986 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Icelandic River and Fisher River MB,4/1/1986 12:00:00 AM,"Icelandic and Fisher Rivers MB, April-June 1986. Little warning preceded the flood on April 1, 1986, which continued on until the end of June. A sudden spring thaw and enormous amounts of rain caused this severe flooding throughout Manitoba. Extensive damage to private, municipal and provincial property was incurred. The areas surrounding Icelandic River and Fisher River were inundated, including Peguis and Fisher River First Nation reserves (148 people were evacuated from Peguis). Major areas affected were the Dauphin Region, Portage la Prairie and the Northern Interlake regions.",0,0,148,2893389,264639.2,6/30/1986 12:00:00 AM,908395,1984994,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Saint John River, between Simonds and Woodstock NB",4/1/1986 12:00:00 AM,"Saint John River, between Simonds and Woodstock NB, April 1-4, 1986. Flooding occurred along sections of the Saint John River in early April 1986, due to ice jams; unusually warm weather contributed to rapid snowmelt and the breakup of river ice; several homes in Simonds were flooded and families had to be evacuated; a private airstrip was severely damaged with 3 light aircraft being submerged.",0,0,0,,,4/4/1986 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Riviere Chaudière QC,3/30/1986 12:00:00 AM,"Rivière Chaudière QC, March 30 - April 1, 1986. Communities along the Rivière Chaudière experienced flooding during the 1986 spring thaw; heavy rain and ice jams contributed to flooding which forced about 750 people to evacuate; an estimated 460 businesses and homes were flooded along the river; the communities of Saint-Georges, Beauceville, Saint-Joseph, Sainte-Marie, Scott, Breakeyville, Saint-Étienne, and Saint-Lambert were directly affected by the flood.",0,0,750,,,4/1/1986 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lake Huron and Lake Erie ON,12/2/1985 12:00:00 AM,"Lake Huron and Lake Erie ON, December 2, 1985. A storm with winds gusting up to 100 km/h severely affected shorelines with western exposures; erosion occurred on Lake Huron; on the eastern end of Lake Erie, cottages were destroyed; property and shore protection structures were damaged.",0,0,0,,,12/2/1985 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Hay River Township, south shore of Great Slave Lake NT",5/3/1985 12:00:00 AM,"Hay River Township, south shore of Great Slave Lake NT, May 3, 1985. Record high flows of the Hay River and ice jams caused serious flooding, requiring the evacuation of West Channel residents. Ice jams, spring runoff, minor damages, one injury.",0,1,,,,5/3/1985 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lake Erie ON,3/31/1985 12:00:00 AM,"Lake Erie ON, March 31 and April 6, 1985. Two separate storms hit the shoreline of Lake Erie; hardest hit were Point Pelee and Long Point located along the shore of the lake; the storms destroyed cottages, washed out access roads, eroded beaches, uprooted trees and breached dikes.",0,0,0,,,4/6/1985 12:00:00 AM,0,0,,,,,,0,0
